CPU_GPU_Ratio,Avg_MBps,Min_MBps,Max_MBps
100:0,511.192,508.274,512.673
75:25,643.413,641.903,646.417
50:50,647.15,449.127,700.578
25:75,754.853,750.905,760.862
0:100,734.071,629.521,899.447
